angle, fsin, fcos, sin, cos, dsin, dcos
256.78, -0.9734991340702966, -0.22869069933948483, -0.9734991340702962, -0.22869069933948655, -0.0000000000000004440892098500626, 0.0000000000000017208456881689926/n
256.79, -0.9735390332995757, -0.22852078820564137, -0.9735390332995757, -0.22852078820564137, 0, 0/n
256.8, -0.9735789028731603, -0.2283508701106558, -0.9735789028731603, -0.2283508701106558, 0, 0/n
256.81, -0.9736187427898355, -0.22818094505970496, -0.9736187427898355, -0.22818094505970496, 0, 0/n
256.82, -0.973658553048388, -0.22801101305796506, -0.973658553048388, -0.22801101305796506, 0, 0/n
256.83, -0.9736983336476048, -0.22784107411061252, -0.9736983336476048, -0.22784107411061252, 0, 0/n
256.84, -0.9737380845862745, -0.22767112822282312, -0.9737380845862744, -0.22767112822282398, -0.00000000000000011102230246251565, 0.0000000000000008604228440844963/n
256.85, -0.9737778058631857, -0.22750117539977632, -0.9737778058631857, -0.22750117539977632, 0, 0/n
256.86, -0.9738174974771289, -0.22733121564664655, -0.9738174974771289, -0.22733121564664655, 0, 0/n
256.87, -0.9738571594268948, -0.22716124896861198, -0.9738571594268948, -0.22716124896861198, 0, 0/n
256.88, -0.9738967917112752, -0.22699127537085007, -0.9738967917112752, -0.22699127537085007, 0, 0/n
256.89, -0.9739363943290629, -0.22682129485853852, -0.9739363943290629, -0.22682129485853852, 0, 0/n
256.9, -0.9739759672790516, -0.22665130743685521, -0.9739759672790516, -0.22665130743685521, 0, 0/n
256.91, -0.9740155105600359, -0.2264813131109774, -0.9740155105600359, -0.2264813131109774, 0, 0/n
256.92, -0.9740550241708107, -0.22631131188608605, -0.9740550241708107, -0.22631131188608605, 0, 0/n
256.93, -0.9740945081101731, -0.22614130376735705, -0.9740945081101731, -0.22614130376735705, 0, 0/n
256.94, -0.9741339623769198, -0.22597128875997002, -0.9741339623769198, -0.22597128875997002, 0, 0/n
256.95, -0.9741733869698492, -0.2258012668691039, -0.9741733869698492, -0.2258012668691039, 0, 0/n
256.96, -0.9742127818877605, -0.22563123809993788, -0.9742127818877605, -0.22563123809993788, 0, 0/n
256.97, -0.9742521471294535, -0.22546120245765044, -0.9742521471294535, -0.22546120245765044, 0, 0/n
256.98, -0.9742914826937289, -0.22529115994742294, -0.9742914826937289, -0.22529115994742294, 0, 0/n
256.99, -0.9743307885793885, -0.22512111057443512, -0.9743307885793885, -0.22512111057443512, 0, 0/n
